bid,name,pattern,subPattern,expected,got,delta,deltaAbs
,Grinding Of The Teeth x1.35,tech,stream tech,18,14.65,3.35,3.35
,The Fate of x1.425,stamina,light jumpstream,18,14.47,3.53,3.53
,Agoniya (Opium Remix)(theta) x1.1,speed,high stream,18,15.07,2.93,2.93
,Rip Me Apart(theta) x1.075,jack,dense chordjack,17.8,14.79,3.01,3.01
,Exitium(eta),tech,stream tech,17.2,14.45,2.75,2.75
,Intersect Thunderbolt-Remix,speed,mid stream,17.2,15.03,2.17,2.17
,Torment Payback,jack,high chordjack,17.2,14.80,2.40,2.40
,Collapse of Ego,stamina,dense jumpstream,16.8,14.60,2.20,2.20
,Angel Dust (2016 Radio Mix)(zeta),jack,anchor chordjack,15.6,15.00,0.60,0.60
,northern limit(haku) x1.1,tech,stream tech,16.4,15.02,1.38,1.38
,Purgatorium(efv2) x1.14,tech,stream tech,16.4,14.58,1.82,1.82
,Angel Dust(spz),stamina,light handstream,16.4,14.59,1.81,1.81
,Angel Dust (2016 Radio Mix)(zeta old),jack,high chordjack,16.4,14.99,1.41,1.41
,Nijuu(zeta),stamina,dense handstream,16.2,14.62,1.58,1.58
,Kizuato(efv3) x1.3,speed,staircase,16.2,15.00,1.20,1.20
,Apocalyptic Premonition x1.05,tech,stream tech,16,14.54,1.46,1.46
,NEURO-CLOUD-9(efv3),tech,stream tech,16,15.02,0.98,0.98
,Senkou no Furea(haku) x1.25,stamina,dense handstream,16,14.63,1.37,1.37
,HIBACHI,speed,high stream,16,15.09,0.91,0.91
,Credens Justitiam(haku) x1.1,speed,mid stream,16,15.00,1.00,1.00
,Double Universe x1.2,jack,mid chordjack,16,14.89,1.11,1.11
,Infinity Heaven(180bpm),jack,high chordjack,16,14.99,1.01,1.01
,Runengon(efv3),stamina,dense handstream,15.7,14.58,1.12,1.12
,Weird Autumn(spz) x1.4,tech,stream tech,15.6,14.71,0.89,0.89
,Vertex Beta(spz cut),jack,mid chordjack,15.6,15.02,0.58,0.58
,Deadly force - Put an end,stamina,dense handstream,15.4,14.66,0.74,0.74
,Finixe(zeta) x1.1,speed,low stream,15.4,14.93,0.47,0.47
,Forgotten[Collab(2015)] x1.4,tech,jack tech,15.2,14.99,0.21,0.21
,Matusa Bomber x1.3,tech,stream tech,15,14.60,0.40,0.40
,Hitsugi to Futago x1.25,stamina,dense jumpstream,15,14.41,0.59,0.59
,Ash Statues(wafles)[Inhuman],stamina,dense jumpstream,15,14.93,0.07,0.07
,Mario Point[D-Another],speed,low stream,15,14.97,0.03,0.03
,Shuuten,speed,high stream,15,14.99,0.01,0.01
,crazy_tek (DJ Noriken Remix)(e9v3),jack,high chordjack,15,15.06,-0.06,0.06
,Rose Quartz(epsilon) x1.3,jack,high chordjack,15,15.11,-0.11,0.11
,Nhelv(e9v3),tech,stream tech,14.8,15.02,-0.22,0.22
,Kimi to bokueno sousouka,speed,Unsigned,14.8,15.02,-0.22,0.22
,Shuu no hazama,tech,stream tech,14.7,14.91,-0.21,0.21
,Paradigm Shift(e8v2) x1.15,speed,low stream,14.7,14.88,-0.18,0.18
,Ash Statues(rachel),stamina,dense jumpstream,14.6,14.51,0.09,0.09
,CRIMSON FIGHTER x1.15,stamina,dense handstream,14.6,14.59,0.01,0.01
,Amatsukami x1.15,speed,high stream,14.6,14.72,-0.12,0.12
,Lalala.Refrain(sp7v2) x1.1,speed,mid stream,14.6,14.27,0.33,0.33
,Tactical Railroad(ATTang),speed,high stream,14.6,13.94,0.66,0.66
,Hayabusa(e8v3),jack,high chordjack,14.6,14.97,-0.37,0.37
,Search And Destroy(Ena) x1.25,stamina,dense handstream,14.6,14.54,0.06,0.06
3755310,Death Melody(e8v2) x1.25,stamina,dense handstream,14.5,14.49,0.01,0.01
,Stay Alive (Zekk Remix) x1.25,speed,mid stream,14.5,14.27,0.23,0.23
,Paraclete -Miracle,speed,low stream,14.5,14.35,0.15,0.15
,Alpha,tech,stream tech,14.4,14.20,0.20,0.20
,Ankoku Butoukai,tech,mix tech,14.4,14.12,0.28,0.28
,Kaguyahime(mintapril) x1.2,tech,mix tech,14.4,13.86,0.54,0.54
,Heaven's Fall(e7v3) x1.4,stamina,dense handstream,14.4,14.02,0.38,0.38
,Ash Statues(wafles)[Passable],stamina,light jumpstream,14.4,14.19,0.21,0.21
,STRONG 280(11bit),stamina,dense handstream,14.4,14.14,0.26,0.26
,Pine Nut,speed,high stream,14.4,13.26,1.14,1.14
,LiFE Garden(e7v3) x1.05,jack,high chordjack,14.4,14.21,0.19,0.19
,Crescent Moon Boss Battle x1.05,tech,stream tech,14,13.96,0.04,0.04
,FUTURE DOMINATORS(delta) x1.3,stamina,dense handstream,14,13.96,0.04,0.04
,Quadraphinix x1.5,stamina,dense handstream,14,14.00,0.00,0.00
,Volcanic(delta),speed,high stream,14,13.90,0.10,0.10
,STRONG 280(isxi),jack,dense chordjack,14,14.29,-0.29,0.29
,Aquaris(snover) x1.3,jack,low chordjack,14,14.03,-0.03,0.03
,Ascension to heaven(sp6v2) x0.975,speed,Unsigned,13.8,13.79,0.01,0.01
,Nhelv(Guilhermeziat),tech,jack tech,13.6,13.60,0.00,0.00
,Shadows of Cats(tachyon) x1.2,tech,stream tech,13.6,13.69,-0.09,0.09
,The Empress(delta),stamina,dense handstream,13.6,13.11,0.49,0.49
,Nopea,speed,mid stream,13.6,13.43,0.17,0.17
,Pastel Subliminal,speed,Unsigned,13.5,13.34,0.16,0.16
,Extraction,tech,Unsigned,13.4,13.12,0.28,0.28
,Tornado [Devastation](interliser),tech,mix tech,13.4,12.59,0.81,0.81
,Cyber Inductance(tachyon) x1.4,stamina,dense jumpstream,13.4,13.01,0.39,0.39
3477045,Electric Angel(e5v3) x1.2,speed,high stream,13.4,12.97,0.43,0.43
,Angel Dust(tachyon),speed,high stream,13.4,13.12,0.28,0.28
,Defeat awaken battle ship,jack,high chordjack,13.4,13.19,0.21,0.21
,WE LUV LAMA(gamma) x1.2,stamina,dense jumpstream,13,12.91,0.09,0.09
,Reflec Streamz(gamma),speed,low stream,13,13.21,-0.21,0.21
,Break(loved) x1.1,jack,high chordjack,13,13.20,-0.20,0.20
,Sendan Life(OpakyL),jack,dense chordjack,13,12.47,0.53,0.53
,Unsan-musho,tech,stream tech,12.8,13.07,-0.27,0.27
,Sonesaki Shinju(sp5v2) x0.925,speed,Unsigned,12.7,12.90,-0.20,0.20
,Fastest Crash (gamma),tech,stream tech,12.6,12.97,-0.37,0.37
,Shinbatsu o Tadori Kyoukotsu ni Itaru(evening),stamina,dense jumpstream,12.6,12.27,0.33,0.33
,The Truth Never Spoken,jack,mid chordjack,12.6,12.82,-0.22,0.22
,Bring Our Ignition Back x1.1,jack,mid chordjack,12.6,12.83,-0.23,0.23
,Japanese Transformation(fullerene),stamina,dense jumpstream,12.5,12.35,0.15,0.15
,Crystal World -Fracture-,speed,Unsigned,12.5,12.74,-0.24,0.24
,IMAGE -MATERIAL- Version 0(luminal),stamina,light handstream,12.4,11.97,0.43,0.43
,Lolit Speed,stamina,dense jumpstream,12.4,11.32,1.08,1.08
,Pure Ruby,speed,Unsigned,12.4,11.76,0.64,0.64
,Odin(fullerene),speed,high stream,12.4,11.82,0.58,0.58
,Mario Point[D-Hyper],speed,low stream,12.4,11.13,1.27,1.27
,ZENITHALIZE,jack,high chordjack,12.4,12.86,-0.46,0.46
,IMAGE -MATERIAL- Version 0(fullerene),stamina,light handstream,12.3,12.24,0.06,0.06
,YELL!(e4v2),speed,Unsigned,12.2,12.31,-0.11,0.11
,Asymmetrical Grooves,tech,Unsigned,12,12.45,-0.45,0.45
,Blue Planet,tech,stream tech,12,12.24,-0.24,0.24
,Time to Say Goodbye(beta),stamina,dense jumpstream,12,11.84,0.16,0.16
,Amber Starlight(beta),speed,low stream,12,11.29,0.71,0.71
,Paradigm Shift(beta),jack,high chordjack,12,12.38,-0.38,0.38
,Edison(e3v3) x1.15,jack,mid chordjack,12,11.51,0.49,0.49
,Akasha(sp3v2) x0.88,speed,Unsigned,11.7,11.48,0.22,0.22
,End Time(e3v2) x1.1,speed,Unsigned,11.5,10.33,1.17,1.17
,INTERNET OVERDOSE x1.05,tech,stream tech,11.4,11.34,0.06,0.06
,Euthanasia x1.05,speed,Unsigned,11.2,11.06,0.14,0.14
,LazorBeamz,stamina,light jumpstream,11,11.22,-0.22,0.22
,Makiba(alpha),speed,low stream,11,10.86,0.14,0.14
,Dark Sambaland,jack,high chordjack,11,11.03,-0.03,0.03
,Odoru Mizushibuki x1.1,tech,jack tech,10.8,10.96,-0.16,0.16
,Towards the Horizon,tech,Unsigned,10.8,10.16,0.64,0.64
,P8107 x0.95,speed,low stream,10.8,11.33,-0.53,0.53
,Message(e2v2),speed,low stream,10.7,10.81,-0.11,0.11
,Moment x1.05,jack,high chordjack,10.6,10.99,-0.39,0.39
,Shin Takarajim(sp2v2),speed,Unsigned,10.5,10.63,-0.13,0.13
,Torikago,speed,mid stream,10.4,10.17,0.23,0.23
,The Lost Dedicated(loved),jack,high chordjack,10.4,11.14,-0.74,0.74
,Eiya no Parade x1.05,speed,low stream,10.3,10.63,-0.33,0.33
,Dope Monkeys x1.02,speed,low stream,10.1,9.88,0.22,0.22
,Tailin no Soul x1.2,tech,stream tech,10,10.01,-0.01,0.01
,Rave 7 [Hard] x1.1,tech,stream tech,10,10.11,-0.11,0.11
,Chandelier(10),stamina,dense jumpstream,10,10.17,-0.17,0.17
,Oh Curry! x0.9,speed,staircase,10,9.86,0.14,0.14
,The Lost Dedicated(10),jack,high chordjack,10,10.95,-0.95,0.95
,Cicadidae,tech,stream tech,9,10.00,-1.00,1.00
,Firmament Castle Velier(9) x1.05,stamina,dense jumpstream,9,10.10,-1.10,1.10
,Disconnected Trance(9),speed,low stream,9,8.34,0.66,0.66
,Scorpion Dance,jack,high chordjack,9,10.82,-1.82,1.82
,Can't Take my Eyes,jack,low chordjack,9,9.31,-0.31,0.31
,RATO,tech,stream tech,8,8.00,0.00,0.00
,Anguish(8),stamina,dense jumpstream,8,8.46,-0.46,0.46
,Trickstarz,speed,staircase,8,7.97,0.03,0.03
,To The Limit(8),jack,high chordjack,8,8.49,-0.49,0.49
,WAVE,tech,mix tech,7,7.44,-0.44,0.44
,Hymn,stamina,light jumpstream,7,6.86,0.14,0.14
,Last Chance,jack,Unsigned,7,7.23,-0.23,0.23
,Five Five Five Guys,speed,low stream,6.6,7.88,-1.28,1.28
,M-A[Expert Lv.15],stamina,dense jumpstream,6.2,6.06,0.14,0.14
,The Bird's Midair Heatstroke,tech,Unsigned,6,5.21,0.79,0.79
,Luv Lab 22ate!,speed,mid stream,6,6.07,-0.07,0.07
,SOS,speed,mid stream,6,6.31,-0.31,0.31
,Sweet Cherry X,jack,Unsigned,6,5.75,0.25,0.25
,Back to the Gate[Lv.5100],stamina,dense jumpstream,6,6.73,-0.73,0.73
,Brainfog,tech,Unsigned,5,5.01,-0.01,0.01
,Elektric U-Phoria,stamina,dense jumpstream,5,5.39,-0.39,0.39
,Palette GAMMA[Abstract],speed,low stream,5,6.40,-1.40,1.40
,TDPDG,speed,low stream,5,5.57,-0.57,0.57
,Energy Flower 3007,jack,Unsigned,5,4.64,0.36,0.36
,Angel Of Darkness,stamina,light jumpstream,4.2,4.27,-0.07,0.07
,Ephemera,tech,Unsigned,4,3.23,0.77,0.77
,Shannon's Theorem,tech,stream tech,4,3.25,0.75,0.75
,CrossOver,jack,Unsigned,4,2.97,1.03,1.03
,Kirlian Shores,tech,Unsigned,3,2.04,0.96,0.96
,True Blue,stamina,Unsigned,3,2.87,0.13,0.13
,Entelechia,speed,mid stream,3,2.50,0.50,0.50
,Dimension Trippere!!!!,jack,Unsigned,3,2.01,0.99,0.99
,Vermillion,tech,Unsigned,2,2.04,-0.04,0.04
,Eternal Drain,stamina,Unsigned,2,2.69,-0.69,0.69
,Snow Storm,speed,Unsigned,2,2.26,-0.26,0.26
,Flashes,jack,Unsigned,2,2.47,-0.47,0.47
,Want U 2,tech,Unsigned,1,2.42,-1.42,1.42
,Tommorow Perfume,stamina,Unsigned,1,2.27,-1.27,1.27
,Shelter,speed,Unsigned,1,2.04,-1.04,1.04
,Miracle Chance,jack,Unsigned,1,2.43,-1.43,1.43
3079544,Night Club Junkie x0.95,speed,low stream,14.6,14.59,0.01,0.01
3079545,Night Club Junkie,speed,low stream,15,14.93,0.07,0.07
3933034,kizuato x1.25,speed,staircase,15.8,15.01,0.79,0.79
3933037,kizuato x1.3,speed,staircase,16.2,15.02,1.18,1.18
4692665,Everything Black x0.95,speed,high stream,14.8,14.86,-0.06,0.06
4692669,Everything Black,speed,high stream,15.2,15.02,0.18,0.18
1455989,Moon Gate,speed,high stream,13,12.16,0.84,0.84
5111540,angel dust,stamina,light handstream,16.4,14.59,1.81,1.81
5195389,Lolit Speed x1.13,stamina,dense jumpstream,14,13.19,0.81,0.81
1305297,Tornado,tech,jacky tech,13.4,12.59,0.81,0.81
2196118,Kaguyahime x1.2,tech,jacky tech,14.4,13.86,0.54,0.54
1065834,Big Brother,tech,stream tech,10,9.78,0.22,0.22
2877294,STRONG 280,stamina,dense handstream,14.4,14.14,0.26,0.26
716700,slavik goblins,stamina,dense handstream,13.7,13.22,0.48,0.48
1429738,star of andromeda,jack,low chordjack,11,10.99,0.01,0.01
3150955,star of andromeda x1.1,jack,low chordjack,13,12.73,0.27,0.27
3150957,star of andromeda x1.2,jack,low chordjack,14,13.15,0.85,0.85
3150959,star of andromeda x1.3,jack,low chordjack,15,13.73,1.27,1.27
3580775,star of andromeda x1.4,jack,low chordjack,16,14.54,1.46,1.46
2552927,paranoia,jack,low chordjack,10,11.01,-1.01,1.01
3260902,The Truth Never Spoken,jack,mid chordjack,12.6,12.82,-0.22,0.22
2308001,Vertex Beta,jack,mid chordjack,15.8,14.61,1.19,1.19
4706643,EVERYTHING BLACK,jack,high chordjack,13.6,13.41,0.19,0.19
3535951,Heaven's Fall x1.3,stamina,dense handstream,13.6,13.28,0.32,0.32
3107371,Rude Buster (Camellia Remix),stamina,dense handstream,14,13.51,0.49,0.49
3107368,Rude Buster (Camellia Remix) x1.1,stamina,dense handstream,15,14.53,0.47,0.47
1937582,Love is War x1.3,stamina,dense handstream,13.6,13.74,-0.14,0.14
2553924,ametsuchi x1.2,jack,low chordjack,8.6,6.72,1.88,1.88
,Oceanus(xfpsb1),ln,hybrid,9.5,9.01,0.49,0.49
,Otenba Koimusume,ln,density,9.5,8.89,0.61,0.61
,Gunjou Infinity [Buffed] (Cut),ln,speed,9.5,9.17,0.33,0.33
,Orca [Broken-],ln,tech,9.5,9.08,0.42,0.42
,Hanatachi ni Kibouwo 1.15x,ln,hybrid,10.5,10.14,0.36,0.36
,Akasha 1.05x,ln,density,10.5,10.34,0.16,0.16
,Ano Yume o Nazotte (Cut) 1.15x,ln,speed,10.5,9.36,1.14,1.14
