name,expected,got,delta,deltaAbs,pattern,subPattern
Grinding Of The Teeth x1.35,18,17.60,0.40,0.40,tech,stream tech
The Fate of x1.425,18,18.00,0.00,0.00,stamina,light jumpstream
Agoniya (Opium Remix)(theta) x1.1,18,17.60,0.40,0.40,speed,high stream
Rip Me Apart(theta) x1.075,17.8,18.40,-0.60,0.60,jack,dense chordjack
Exitium(eta),17.2,17.40,-0.20,0.20,tech,stream tech
Intersect Thunderbolt-Remix,17.2,17.00,0.20,0.20,speed,mid stream
Torment Payback,17.2,17.40,-0.20,0.20,jack,high chordjack
Collapse of Ego,16.8,16.60,0.20,0.20,stamina,dense jumpstream
Angel Dust (2016 Radio Mix)(zeta),16.6,15.60,1.00,1.00,jack,anchor chordjack
northern limit(haku) x1.1,16.4,16.60,-0.20,0.20,tech,stream tech
Purgatorium(efv2) x1.14,16.4,16.60,-0.20,0.20,tech,stream tech
Angel Dust(spz),16.4,16.60,-0.20,0.20,stamina,light handstream
Angel Dust (2016 Radio Mix)(zeta old),16.4,17.00,-0.60,0.60,jack,high chordjack
Nijuu(zeta),16.2,16.00,0.20,0.20,stamina,dense handstream
Kizuato(efv3) x1.3,16.2,16.40,-0.20,0.20,speed,staircase
Apocalyptic Premonition x1.05,16,16.00,0.00,0.00,tech,stream tech
NEURO-CLOUD-9(efv3),16,16.60,-0.60,0.60,tech,stream tech
Senkou no Furea(haku) x1.25,16,15.40,0.60,0.60,stamina,dense handstream
HIBACHI,16,15.60,0.40,0.40,speed,high stream
Credens Justitiam(haku) x1.1,16,15.60,0.40,0.40,speed,mid stream
Double Universe x1.2,16,15.60,0.40,0.40,jack,mid chordjack
Infinity Heaven(180bpm),16,16.40,-0.40,0.40,jack,high chordjack
Runengon(efv3),15.7,16.00,-0.30,0.30,stamina,dense handstream
Weird Autumn(spz) x1.4,15.6,15.60,0.00,0.00,tech,stream tech
Vertex Beta(spz cut),15.6,14.60,1.00,1.00,jack,mid chordjack
Deadly force - Put an end,15.4,15.40,0.00,0.00,stamina,dense handstream
Finixe(zeta) x1.1,15.4,16.40,-1.00,1.00,speed,low stream
Forgotten[Collab(2015)] x1.4,15.2,15.40,-0.20,0.20,tech,jack tech
Matusa Bomber x1.3,15,15.40,-0.40,0.40,tech,stream tech
Hitsugi to Futago x1.25,15,15.00,0.00,0.00,stamina,dense jumpstream
Ash Statues(wafles)[Inhuman],15,15.00,0.00,0.00,stamina,dense jumpstream
Mario Point[D-Another],15,15.40,-0.40,0.40,speed,low stream
Shuuten,15,15.40,-0.40,0.40,speed,high stream
crazy_tek (DJ Noriken Remix)(e9v3),15,15.00,0.00,0.00,jack,high chordjack
Rose Quartz(epsilon) x1.3,15,14.60,0.40,0.40,jack,high chordjack
Nhelv(e9v3),14.8,15.40,-0.60,0.60,tech,stream tech
Kimi to bokueno sousouka,14.8,15.40,-0.60,0.60,speed,Unsigned
